Employee_ID,Name,Department,Role,Annual_Salary,Bonus,Total_Compensation,Years_of_Experience,Gender,Age,Performance_Rating,Salary_Range,Education_Level_Bachelor's,Education_Level_Master's,Education_Level_PhD,Bonus_Percentage,Annual_Salary_Zscore,Total_Compensation_Category,Years_to_Retirement,Name_Initial,High_Performer
96499,Stephanie Frederick,Marketing,Consultant,-1.051386938040136,43648.55,80630.57,20,Female,39,0.6630122001000778,Medium,0,0,1,214663.55940938907,-1.051386938040136,Medium,26,S,False
48005,Michael Garrett,Sales,Analyst,-1.6306509119710773,41878.18,154376.12,4,Male,46,-0.9017209324292785,Low,0,0,1,1131109.0726258631,-1.6306509119710773,High,19,M,False
29216,Alexandra Gomez,Sales,Consultant,-0.6485988485610559,17994.86,50781.98,2,Female,36,1.0976602924693433,Medium,0,1,0,56414.11911885621,-0.6485988485610559,Low,29,A,False
26693,Nicole Lee,Engineering,Sales Executive,-0.7732400294036663,40515.81,50327.45,28,Non-binary,32,-0.20628398463845368,Medium,1,0,0,143068.03804726145,-0.7732400294036663,Low,33,N,False
78211,Nicole Dennis,Marketing,Engineer,-1.6704322639088045,26025.59,144373.28,18,Female,51,-0.8147913139554254,Low,0,1,0,1016525.489216098,-1.6704322639088045,High,14,N,False
69857,Sara Bradshaw,Engineering,Analyst,1.6530457022466662,20544.5,76156.7,23,Female,31,-0.8147913139554254,High,0,0,1,20968.139352041588,1.6530457022466662,Medium,34,S,False
23709,Mark Anderson,Sales,Manager,-0.025010504468200138,19083.73,46059.58,1,Male,38,-0.5540024585338661,Medium,1,0,0,38319.628588609616,-0.025010504468200138,Low,27,M,False
44101,Denise Erickson,HR,Analyst,-1.5561714582958346,42164.0,51016.19,24,Female,28,-1.77101711716781,Low,0,0,1,721892.7879560973,-1.5561714582958346,Low,37,D,False
54438,Kyle Wilson,HR,Consultant,-1.7324299825508906,40123.86,194429.78,29,Non-binary,25,1.0976602924693433,Low,0,0,1,5142422.0990556255,-1.7324299825508906,High,40,K,False
98544,Christopher Taylor,HR,Engineer,-0.7359529332520182,32135.57,122801.37,13,Non-binary,45,-0.11935436616460045,Medium,0,0,1,109342.60028916306,-0.7359529332520182,Medium,20,C,False
47149,Jessica Shah,Sales,Engineer,-0.12250669198647496,26514.65,62444.09,7,Female,34,0.8368714370477841,Medium,0,1,0,56411.43019305482,-0.12250669198647496,Low,31,J,False
15996,Miguel Ellis,Marketing,Sales Executive,-0.4480751951635326,10877.83,100142.29,8,Non-binary,22,1.2715195294170498,Medium,1,0,0,28888.166981054586,-0.4480751951635326,Medium,43,M,False
17704,Jennifer Erickson,Finance,Engineer,-1.503057307930463,36326.04,82372.34,1,Male,49,0.3152937262046652,Low,0,1,0,493178.3432310463,-1.503057307930463,Medium,16,J,False
18289,David Webb,HR,Sales Executive,-0.5318627982579374,33652.82,97897.41,14,Male,25,0.5760825816262249,Medium,1,0,0,95470.70526904205,-0.5318627982579374,Medium,40,D,False
30081,Leslie Hernandez,Sales,Analyst,0.32116475929110283,38906.92,95434.99,16,Female,29,-1.2494394063246912,High,1,0,0,65126.66988456409,0.32116475929110283,Medium,36,L,False
99783,Richard Jones,Sales,Manager,-0.7024949886723675,28982.2,104865.46,6,Female,25,0.4022233446785184,Medium,0,1,0,95491.98894103583,-0.7024949886723675,Medium,40,R,False
24043,Stephen Hood,Sales,Consultant,0.3628646476598143,34813.02,171434.19,13,Female,59,-0.11935436616460045,High,1,0,0,57128.95292170277,0.3628646476598143,High,6,S,False
69101,Jean Kim,HR,Sales Executive,-0.8965406111315797,37088.17,66992.89,20,Male,45,1.0976602924693433,Medium,0,1,0,149674.51486188822,-0.8965406111315797,Low,20,J,False
51298,Melinda Rodriguez,Finance,Analyst,-0.12648761547431728,32809.14,91825.05,21,Female,26,-0.9886505509031317,Medium,1,0,0,69973.47067434428,-0.12648761547431728,Medium,39,M,False
44349,Mrs. Haley Beasley,Marketing,Engineer,1.329390665875012,20938.15,196664.58,3,Female,36,-0.20628398463845368,High,0,1,0,23608.9757908322,1.329390665875012,High,29,M,False
22196,Andrew Miller,Sales,Consultant,0.4758691366833782,27051.76,48738.05,2,Female,39,0.4891529631523716,High,1,0,0,42148.48249395204,0.4758691366833782,Low,26,A,False
84946,Rebecca Cummings,Marketing,Manager,1.0023646453432842,45151.0,134636.14,24,Male,29,-0.29321360311230654,High,0,0,1,56938.31213147115,1.0023646453432842,High,36,R,False
82193,Jose Gomez,Marketing,Consultant,1.5763764871718315,48572.49,127007.25,4,Non-binary,26,0.8368714370477841,High,0,0,1,50713.41875079664,1.5763764871718315,High,39,J,False
53594,Willie Choi,Engineering,Analyst,-1.5910967426297196,28913.35,146887.57,2,Non-binary,32,1.0107306739954904,Low,0,0,1,597626.8344098154,-1.5910967426297196,High,33,W,False
78933,Cynthia Barajas,Finance,Consultant,-0.6629940503996151,5748.7,106455.17,20,Male,49,1.0107306739954904,Medium,1,0,0,18258.826546931276,-0.6629940503996151,Medium,16,C,False
99497,Anthony Wong,HR,Manager,-1.6733121280906735,25603.66,199688.3,28,Female,58,0.6630122001000778,Low,0,1,0,1033419.5936684198,-1.6733121280906735,High,7,A,False
98100,Gary Taylor,Sales,Engineer,-0.9363286169528824,35714.16,89544.17,26,Female,40,0.8368714370477841,Medium,0,1,0,151095.10739723983,-0.9363286169528824,Medium,25,G,False
35568,Matthew Lynch,Engineering,Engineer,-1.0187483716950891,30611.54,68693.44,27,Male,52,-0.03242474769074725,Medium,0,0,1,143915.16098548195,-1.0187483716950891,Low,13,M,False
60618,Kyle Nichols,Marketing,Analyst,-0.49956104516245864,30319.53,191758.35,12,Male,50,-0.11935436616460045,Medium,1,0,0,83809.38125583388,-0.49956104516245864,High,15,K,False
18341,Stephanie Clark,Finance,Sales Executive,1.204495686901729,18851.18,134994.1,11,Male,39,1.3584491478909024,High,0,1,0,22151.427538138203,1.204495686901729,High,26,S,False
97966,Elizabeth Marshall,Engineering,Manager,0.21024135156872828,6541.64,117362.17,10,Non-binary,52,0.054504870783105966,High,1,0,0,11566.72258334123,0.21024135156872828,Medium,13,E,False
91831,Jordan Sloan,Engineering,Engineer,-0.4734949315321773,13325.48,182508.29,6,Female,45,-1.6840874986939567,Medium,1,0,0,36087.8158320428,-0.4734949315321773,High,20,J,False
88334,Judy Bailey,Sales,Sales Executive,-1.2023765472875954,5414.61,181873.32,20,Female,59,-1.5971578802201036,Low,0,1,0,33844.58377979422,-1.2023765472875954,High,6,J,False
10693,Lindsey Walters,Engineering,Sales Executive,0.1681501514754479,13930.55,107564.68,27,Non-binary,46,1.4453787663647562,High,1,0,0,25169.374122610432,0.1681501514754479,Medium,19,L,False
93614,Jacob Reed,Finance,Engineer,0.44932616139684073,44386.05,45811.5,8,Non-binary,25,-0.29321360311230654,High,1,0,0,69987.48379725756,0.44932616139684073,Low,40,J,False
89439,Michael Daugherty,Marketing,Sales Executive,-0.2039625841650061,39141.32,49690.67,22,Female,55,0.4891529631523716,Medium,1,0,0,87635.81793562611,-0.2039625841650061,Low,10,M,False
80693,Ashley Cole,Finance,Sales Executive,0.14763749581805902,7082.74,114852.69,28,Non-binary,59,-0.20628398463845368,High,0,0,1,12934.552464713857,0.14763749581805902,Medium,6,A,False
40368,Lauren Dominguez,HR,Sales Executive,0.5389092970856527,5844.7,98036.99,15,Non-binary,47,-1.1625097878508381,High,1,0,0,8856.68276209452,0.5389092970856527,Medium,18,L,False
74489,Karen Perry,HR,Sales Executive,-0.36984707022239816,27786.085,72344.22,13,Male,49,-0.8147913139554254,Medium,1,0,0,124541.19029892264,-0.36984707022239816,Low,16,K,False
90806,Chelsea Tate,HR,Manager,-0.1633396743807568,21337.18,107887.05,11,Male,26,-0.6409320770077193,Medium,0,0,1,46557.312544512606,-0.1633396743807568,Medium,39,C,False
57750,Curtis Marshall,Marketing,Sales Executive,-0.3327915925895027,12086.74,143652.68,7,Female,23,-0.8147913139554254,Medium,1,0,0,29505.15614106812,-0.3327915925895027,High,42,C,False
65850,Lisa Valentine,HR,Manager,-1.7008081929865255,27786.085,169680.7,21,Female,30,1.184589910943197,Low,0,0,1,2940711.539149655,-1.7008081929865255,High,35,L,False
63844,Melanie Singh,Marketing,Sales Executive,0.06791985151077133,12553.69,74697.12,13,Non-binary,52,1.4453787663647562,Medium,1,0,0,23925.670488076237,0.06791985151077133,Low,13,M,False
80609,Amanda Sweeney,Sales,Consultant,-1.1278711117812477,26475.24,151445.01,18,Female,57,1.532308384838609,Low,0,0,1,145969.1688659131,-1.1278711117812477,High,8,A,False
51288,Matthew Myers,Engineering,Consultant,1.3493127101521607,36952.55,189343.0,26,Male,31,0.22836410773081198,High,1,0,0,41399.140690155196,1.3493127101521607,High,34,M,False
89229,Alexander Sanchez,Marketing,Engineer,0.47829875474329336,39019.35,85910.35,2,Male,42,1.184589910943197,High,0,1,0,60728.79904045679,0.47829875474329336,Medium,23,A,False
14789,Peter Park,Engineering,Analyst,-1.552841664843611,20181.46,89073.58,5,Non-binary,32,1.0107306739954904,Low,0,1,0,339963.7078521516,-1.552841664843611,Medium,33,P,False
