Employee_ID,Name,Department,Role,Base_Salary,Bonus,Total_Compensation,Years_of_Experience,Education_Level,Gender,Age,City,Performance_Rating
96499,Stephanie Frederick,Marketing,Consultant,62389.81,43648.55,80630.57,20,PhD,Female,39,Houston,3.8
48005,Michael Garrett,Sales,Analyst,44107.94,41878.18,154376.12,4,PhD,Male,46,Houston,2.0
29216,Alexandra Gomez,Sales,Consultant,75102.01,17994.86,50781.98,2,Master's,Female,36,San Francisco,4.3
26693,Nicole Lee,Engineering,Sales Executive,71168.27,40515.81,50327.45,28,Bachelor's,Other,32,Los Angeles,2.8
78211,Nicole Dennis,Marketing,Engineer,42852.42,26025.59,144373.28,18,Master's,Female,51,San Francisco,2.1
69857,Sara Bradshaw,Engineering,Analyst,147743.1,20544.5,76156.7,23,PhD,Female,31,Chicago,2.1
23709,Mark Anderson,Sales,Manager,94782.78,19083.73,46059.58,1,Bachelor's,Male,38,Chicago,2.4
44101,Denise Erickson,HR,Analyst,46458.55,42164.0,51016.19,24,PhD,Female,28,Chicago,1.0
54438,Kyle Wilson,HR,Consultant,40895.74,40123.86,194429.78,29,PhD,Other,25,San Francisco,4.3
98544,Christopher Taylor,HR,Engineer,72345.07,32135.57,122801.37,13,PhD,Other,45,San Francisco,2.9
47149,Jessica Shah,Sales,Engineer,91705.75,26514.65,62444.09,7,Master's,Female,34,New York,4.0
15996,Miguel Ellis,Marketing,Sales Executive,81430.64,10877.83,100142.29,8,Bachelor's,Other,22,New York,4.5
17704,Jennifer Erickson,Finance,Engineer,48134.86,36326.04,82372.34,1,Master's,Male,49,Chicago,3.4
18289,David Webb,HR,Sales Executive,78786.26,33652.82,97897.41,14,Bachelor's,Male,25,San Francisco,3.7
30081,Leslie Hernandez,Sales,Analyst,105708.25,38906.92,95434.99,16,Bachelor's,Female,29,San Francisco,1.6
99783,Richard Jones,Sales,Manager,73401.02,28982.2,104865.46,6,Master's,Female,25,San Francisco,3.5
24043,Stephen Hood,Sales,Consultant,107024.32,34813.02,171434.19,13,Bachelor's,Female,59,Chicago,2.9
69101,Jean Kim,HR,Sales Executive,67276.84,37088.17,66992.89,20,Master's,Male,45,New York,4.3
51298,Melinda Rodriguez,Finance,Analyst,91580.11,32809.14,91825.05,21,Bachelor's,Female,26,San Francisco,1.9
44349,Mrs. Haley Beasley,Marketing,Engineer,137528.38,20938.15,196664.58,3,Master's,Female,36,San Francisco,2.8
22196,Andrew Miller,Sales,Consultant,110590.8,27051.76,48738.05,2,Bachelor's,Female,39,Los Angeles,3.6
84946,Rebecca Cummings,Marketing,Manager,127207.27,45151.0,134636.14,24,PhD,Male,29,New York,2.7
82193,Jose Gomez,Marketing,Consultant,145323.38,48572.49,127007.25,4,PhD,Other,26,San Francisco,4.0
53594,Willie Choi,Engineering,Analyst,45356.29,28913.35,146887.57,2,PhD,Other,32,Los Angeles,4.2
78933,Cynthia Barajas,Finance,Consultant,74647.69,5748.7,106455.17,20,Bachelor's,Male,49,New York,4.2
99497,Anthony Wong,HR,Manager,42761.53,25603.66,199688.3,28,Master's,Female,58,Los Angeles,3.8
98100,Gary Taylor,Sales,Engineer,66021.11,35714.16,89544.17,26,Master's,Female,40,Los Angeles,4.0
35568,Matthew Lynch,Engineering,Engineer,63419.9,30611.54,68693.44,27,PhD,Male,52,New York,3.0
60618,Kyle Nichols,Marketing,Analyst,79805.72,30319.53,191758.35,12,Bachelor's,Male,50,New York,2.9
18341,Stephanie Clark,Finance,Sales Executive,133586.63,18851.18,134994.1,11,Master's,Male,39,Houston,4.6
97966,Elizabeth Marshall,Engineering,Manager,102207.45,6541.64,117362.17,10,Bachelor's,Other,52,San Francisco,3.1
91831,Jordan Sloan,Engineering,Engineer,80628.38,13325.48,182508.29,6,Bachelor's,Female,45,Chicago,1.1
88334,Judy Bailey,Sales,Sales Executive,57624.5,5414.61,181873.32,20,Master's,Female,59,Los Angeles,1.2
10693,Lindsey Walters,Engineering,Sales Executive,100879.03,13930.55,107564.68,27,Bachelor's,Other,46,Houston,4.7
93614,Jacob Reed,Finance,Engineer,109753.09,44386.05,45811.5,8,Bachelor's,Other,25,Los Angeles,2.7
89439,Michael Daugherty,Marketing,Sales Executive,89134.96,39141.32,49690.67,22,Bachelor's,Female,55,New York,3.6
80693,Ashley Cole,Finance,Sales Executive,100231.64,7082.74,114852.69,28,PhD,Other,59,San Francisco,2.8
40368,Lauren Dominguez,HR,Sales Executive,112580.38,5844.7,98036.99,15,Bachelor's,Other,47,New York,1.7
